Sat Apr 30 10:01:37 2016
[([0, 0, 0, 0, 0, 9, 0, 0, 0, 0], 64.23892046903252), ([1, 5, 7, 6, 8, 4, 2, 10, 3, 9], 64.23892046903252)]
[([0, 0, 0, 0, 0, 9, 9, 0, 0, 0], 60.86604141662693), ([1, 10, 5, 6, 8, 7, 4, 2, 3, 9], 60.86604141662693)]
[([0, 0, 0, 0, 0, 9, 0, 0, 0, 0], 62.760278136717695), ([1, 2, 4, 7, 8, 6, 5, 10, 3, 9], 62.760278136717695)]
[([0, 0, 0, 0, 0, 9, 9, 0, 9, 0], 64.92834325823367), ([1, 3, 5, 6, 8, 7, 4, 2, 10, 9], 64.92834325823367)]
[([0, 0, 0, 0, 0, 9, 0, 0, 0, 0], 61.999808306031554), ([1, 10, 2, 7, 4, 8, 6, 5, 3, 9], 61.999808306031554)]
[([0, 0, 0, 0, 0, 9, 0, 9, 0, 0], 65.87165358556756), ([1, 5, 6, 7, 4, 8, 2, 10, 3, 9], 65.87165358556756)]
[([0, 0, 0, 0, 0, 9, 0, 9, 0, 0], 66.09257090600973), ([1, 5, 4, 7, 8, 6, 2, 10, 3, 9], 66.09257090600973)]
[([0, 0, 0, 0, 0, 9, 0, 0, 0, 0], 68.20095616841321), ([1, 5, 8, 6, 7, 4, 2, 10, 3, 9], 68.20095616841321)]
[([0, 0, 0, 0, 0, 9, 9, 0, 9, 0], 58.62166987498348), ([1, 5, 10, 2, 6, 7, 4, 8, 3, 9], 58.62166987498348)]
[([0, 0, 0, 0, 0, 9, 9, 0, 0, 0], 63.74720433316256), ([1, 10, 2, 4, 7, 6, 8, 5, 3, 9], 63.74720433316256)]
[([0, 0, 0, 0, 0, 9, 0, 0, 9, 0], 66.09257090600973), ([1, 5, 4, 7, 8, 6, 2, 10, 3, 9], 66.09257090600973)]
[([0, 0, 0, 0, 0, 9, 0, 9, 0, 0], 62.31425712290006), ([1, 6, 8, 7, 4, 2, 5, 10, 3, 9], 62.31425712290006)]
[([0, 0, 0, 0, 0, 9, 9, 0, 9, 0], 60.239724512871696), ([1, 10, 8, 6, 7, 4, 2, 5, 3, 9], 60.239724512871696)]
[([0, 0, 0, 0, 0, 9, 0, 0, 9, 0], 62.13723078285248), ([1, 3, 5, 4, 7, 8, 6, 2, 10, 9], 62.13723078285248)]
[([0, 0, 0, 0, 0, 9, 9, 0, 9, 0], 60.75271588336676), ([1, 3, 5, 7, 4, 8, 6, 2, 10, 9], 60.75271588336676)]
[([0, 0, 0, 0, 0, 9, 0, 0, 9, 0], 64.67097160068712), ([1, 10, 2, 4, 7, 8, 6, 5, 3, 9], 64.67097160068712)]
[([0, 0, 0, 0, 0, 9, 0, 9, 9, 0], 69.25938369636029), ([1, 5, 6, 8, 7, 4, 2, 10, 3, 9], 69.25938369636029)]
[([0, 0, 0, 0, 0, 9, 9, 0, 0, 0], 64.67097160068712), ([1, 10, 2, 4, 7, 8, 6, 5, 3, 9], 64.67097160068712)]
[([0, 0, 0, 0, 0, 9, 9, 9, 0, 0], 62.088773153534035), ([1, 3, 5, 4, 7, 6, 8, 2, 10, 9], 62.088773153534035)]
[([0, 0, 0, 0, 0, 9, 0, 9, 9, 0], 66.20468720201185), ([1, 5, 6, 8, 4, 7, 2, 10, 3, 9], 66.20468720201185)]
[([0, 0, 0, 0, 0, 9, 9, 9, 9, 0], 62.427614381982075), ([1, 5, 6, 8, 7, 4, 2, 3, 10, 9], 62.427614381982075)]
[([0, 0, 0, 0, 0, 9, 0, 9, 0, 0], 66.09257090600973), ([1, 5, 4, 7, 8, 6, 2, 10, 3, 9], 66.09257090600973)]
[([0, 0, 0, 0, 0, 9, 9, 9, 0, 0], 63.74720433316256), ([1, 10, 2, 4, 7, 6, 8, 5, 3, 9], 63.74720433316256)]
[([0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 55.145786258919216), ([1, 5, 6, 8, 7, 4, 2, 10, 9, 3], 55.145786258919216)]
[([0, 0, 0, 0, 0, 9, 0, 0, 9, 0], 60.93498608378557), ([1, 5, 2, 8, 6, 4, 7, 10, 3, 9], 60.93498608378557)]
[([0, 0, 0, 0, 0, 9, 9, 9, 0, 0], 62.088773153534035), ([1, 3, 5, 4, 7, 6, 8, 2, 10, 9], 62.088773153534035)]
[([0, 0, 0, 0, 0, 9, 9, 0, 0, 0], 64.497037623515), ([1, 5, 8, 7, 4, 6, 2, 10, 3, 9], 64.497037623515)]
[([0, 0, 0, 0, 0, 9, 9, 9, 9, 0], 66.09257090600973), ([1, 5, 4, 7, 8, 6, 2, 10, 3, 9], 66.09257090600973)]
[([0, 0, 0, 0, 0, 9, 0, 0, 0, 0], 58.422074565486085), ([1, 2, 8, 6, 4, 7, 5, 10, 3, 9], 58.422074565486085)]
[([0, 9, 9, 0, 0, 0, 0, 9, 9, 0], 9.390650120408772), ([1, 10, 2, 4, 7, 6, 8, 5, 3, 9], 9.390650120408772)]

