Sat Apr 30 16:18:27 2016
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0], 13.584482707969876), ([1, 8, 2, 9, 7, 5, 10, 4, 3, 6], 13.584482707969876)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 109.30584336060406), ([1, 3, 9, 10, 4, 5, 7, 2, 8, 6], 109.30584336060406)]
[([0, 0, 6, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 6, 0], 12.24611181264033), ([1, 9, 2, 8, 7, 10, 5, 4, 3, 6], 12.24611181264033)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0], 116.16365158428268), ([1, 3, 4, 5, 10, 9, 7, 8, 2, 6], 116.16365158428268)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 6, 0], 58.5095020967357), ([1, 10, 4, 9, 2, 8, 7, 5, 3, 6], 58.5095020967357)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0], 110.21497897645014), ([1, 7, 9, 2, 8, 10, 4, 5, 3, 6], 110.21497897645014)]
[([0, 0, 6, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 6, 0], 12.4473467971422), ([1, 3, 5, 4, 10, 8, 2, 9, 7, 6], 12.4473467971422)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0], 13.178114293486349), ([1, 3, 5, 4, 10, 9, 2, 8, 7, 6], 13.178114293486349)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 104.10933437180714), ([1, 4, 10, 7, 8, 2, 9, 5, 3, 6], 104.10933437180714)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 107.50318260703098), ([1, 3, 10, 4, 5, 8, 2, 9, 7, 6], 107.50318260703098)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 102.89379182349768), ([1, 4, 9, 8, 2, 7, 10, 5, 3, 6], 102.89379182349768)]
[([0, 0, 6, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 6, 0], 11.657691364917973), ([1, 10, 4, 9, 8, 2, 7, 5, 3, 6], 11.657691364917973)]
[([0, 0, 6, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0], 13.438528461414897), ([1, 3, 4, 10, 5, 7, 9, 2, 8, 6], 13.438528461414897)]
[([0, 0, 6, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 6, 0], 12.084274606039333), ([1, 8, 2, 9, 10, 4, 7, 5, 3, 6], 12.084274606039333)]
[([0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11.918298200311826), ([1, 10, 5, 4, 9, 8, 2, 7, 3, 6], 11.918298200311826)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 6, 0, 0, 0, 0], 13.267624000954106), ([1, 8, 7, 2, 9, 10, 4, 5, 3, 6], 13.267624000954106)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 100.4791371563948), ([1, 3, 9, 7, 2, 8, 4, 10, 5, 6], 100.4791371563948)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0], 13.67921015540752), ([1, 8, 2, 7, 9, 4, 10, 5, 3, 6], 13.67921015540752)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 106.07416867642219), ([1, 10, 4, 5, 9, 2, 8, 7, 3, 6], 106.07416867642219)]
[([0, 0, 6, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0], 12.067120273002365), ([1, 4, 10, 9, 2, 8, 7, 5, 3, 6], 12.067120273002365)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0], 104.21392133653256), ([1, 9, 10, 5, 4, 3, 7, 2, 8, 6], 104.21392133653256)]
[([0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 11.712422310293176), ([1, 8, 7, 3, 4, 5, 10, 9, 2, 6], 11.712422310293176)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0], 12.724414558143033), ([1, 8, 2, 9, 7, 3, 4, 10, 5, 6], 12.724414558143033)]
[([0, 0, 6, 0, 0, 0, 6, 6, 0, 0, 6, 0, 0, 6, 0], 13.584482707969876), ([1, 8, 2, 9, 7, 5, 10, 4, 3, 6], 13.584482707969876)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 102.64653601480863), ([1, 10, 9, 8, 2, 7, 4, 5, 3, 6], 102.64653601480863)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 0, 0, 0, 6, 0], 11.600830326392128), ([1, 10, 7, 2, 8, 9, 4, 5, 3, 6], 11.600830326392128)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0], 110.38251376969282), ([1, 8, 2, 9, 5, 4, 10, 7, 3, 6], 110.38251376969282)]
[([0, 0, 6, 0, 6, 0, 6, 6, 0, 0, 6, 0, 0, 6, 0], 13.267624000954106), ([1, 8, 7, 2, 9, 10, 4, 5, 3, 6], 13.267624000954106)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], 103.69011605451635), ([1, 8, 2, 9, 5, 3, 4, 10, 7, 6], 103.69011605451635)]
[([0, 0, 6, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 6, 0], 12.167879527767), ([1, 2, 8, 9, 10, 4, 5, 7, 3, 6], 12.167879527767)]

