Best,Algorithm
1449,A
1451,A
1442,A
1454,A
1452,A
1451,A
1455,A
1455,A
1449,A
1455,A
1447,A
1456,A
1450,A
1451,A
1451,A
1453,A
1456,A
1453,A
1444,A
1449,A
1451,A
1450,A
1456,A
1449,A
1446,A
1453,A
1456,A
1448,A
1448,A
1454,A
1448,B
1451,B
1455,B
1443,B
1456,B
1454,B
1447,B
1451,B
1450,B
1458,B
1451,B
1458,B
1458,B
1447,B
1454,B
1449,B
1450,B
1453,B
1449,B
1450,B
1447,B
1450,B
1449,B
1451,B
1453,B
1456,B
1450,B
1450,B
1444,B
1450,B
