Best,Algorithm
13347158,A
13343928,A
13424518,A
13177485,A
13207472,A
13253561,A
13170720,A
13335096,A
13238048,A
13183459,A
13294398,A
13350463,A
13385630,A
13286905,A
13341323,A
13268655,A
13262413,A
13289162,A
13161286,A
13302320,A
13286800,A
13211287,A
13097852,A
13219208,A
13293330,A
13339642,A
13133465,A
13250786,A
13261491,A
13419904,A
13284297,B
13203155,B
13305734,B
13458215,B
13230730,B
13322257,B
13431017,B
13205648,B
13267698,B
13352912,B
13173016,B
13308281,B
13224843,B
13372328,B
13278708,B
13368795,B
13369929,B
13270812,B
13216259,B
13309378,B
13257266,B
13277750,B
13316207,B
13396513,B
13312492,B
13202939,B
13375302,B
13373438,B
13353695,B
13312312,B
