Best,Algorithm
13321091,A
13289584,A
13353916,A
13299885,A
13176841,A
13348685,A
13435292,A
13318076,A
13339059,A
13437475,A
13321405,A
13265563,A
13260614,A
13218679,A
13278150,A
13135233,A
13204113,A
13398517,A
13376445,A
13123592,A
13173382,A
13258386,A
13127392,A
13292886,A
13269235,A
13275040,A
13193526,A
13285326,A
13181590,A
13341695,A
13169513,B
13384607,B
13379950,B
13457089,B
13429507,B
13282578,B
13262447,B
13350969,B
13377846,B
13331504,B
13389244,B
13325104,B
13292613,B
13363097,B
13172132,B
13415225,B
13267406,B
13215964,B
13335125,B
13200285,B
13306461,B
13325681,B
13234029,B
13317600,B
13388144,B
13360312,B
13221381,B
13227035,B
13315763,B
13363097,B
