Best,Algorithm
13249677,A
13316554,A
13135007,A
13263110,A
13380596,A
13253121,A
13210666,A
13372819,A
13344390,A
13473708,A
13390333,A
13194226,A
13305130,A
13398248,A
13424324,A
13157964,A
13382252,A
13274542,A
13430885,A
13274177,A
13426950,A
13166636,A
13325791,A
13320206,A
13376486,A
13295885,A
13125921,A
13390333,A
13428351,A
13324306,A
13487304,B
13290355,B
13306822,B
13147470,B
13428351,B
13431357,B
13326515,B
13368015,B
13287262,B
13358703,B
13521334,B
13323898,B
13443084,B
13308661,B
13299349,B
13375684,B
13381370,B
13382652,B
13277426,B
13295275,B
13208933,B
13385503,B
13280489,B
13361503,B
13338502,B
13301903,B
13427176,B
13216275,B
13410691,B
13256938,B
