Best,Algorithm
13239839,A
13215038,A
13231940,A
13301374,A
13290720,A
12953322,A
13160032,A
13224075,A
13323426,A
13345547,A
13316117,A
13139184,A
13391769,A
13232162,A
13118939,A
13259914,A
13300798,A
13363762,A
13297586,A
13157997,A
13240630,A
13268644,A
13145925,A
13439522,A
13394219,A
13298177,A
13364286,A
13231238,A
13102516,A
13213754,A
13456720,B
13311048,B
13171816,B
13286312,B
13298396,B
13265500,B
13334662,B
13229944,B
13474183,B
13413220,B
13289185,B
13316033,B
13291803,B
13361011,B
13297076,B
13235131,B
13256058,B
13339284,B
13291099,B
13230717,B
13241263,B
13315794,B
13351725,B
13331847,B
13299454,B
13347482,B
13279353,B
13346743,B
13458701,B
13253855,B
