Best,Algorithm
13482886,A
13302275,A
13308453,A
13342870,A
13237961,A
13460973,A
13318686,A
13329939,A
13261488,A
13363120,A
13307230,A
13157557,A
13226897,A
13379090,A
13239894,A
13222639,A
13267160,A
13327925,A
13233623,A
13208925,A
13186170,A
13193897,A
13192377,A
13284835,A
13271937,A
13258470,A
13321551,A
13213022,A
13425424,A
13320742,A
13310605,B
13170185,B
13311887,B
13358548,B
13311125,B
13249728,B
13208574,B
13366146,B
13188740,B
13263211,B
13289959,B
13301124,B
13359818,B
13376712,B
13173010,B
13419993,B
13351847,B
13240704,B
13268383,B
13433629,B
13323283,B
13329790,B
13262420,B
13370359,B
13398069,B
13179692,B
13133186,B
13259056,B
13301129,B
13339435,B
