Best,Algorithm
13317200,A
13327219,A
13251028,A
13249524,A
13266702,A
13417320,A
13195206,A
13198431,A
13285317,A
13170964,A
13183830,A
13167367,A
13384531,A
13283441,A
13336788,A
13218741,A
13381848,A
13114577,A
13366914,A
13286369,A
13358638,A
13263305,A
13329381,A
13287898,A
13220764,A
13385958,A
13277488,A
13332433,A
13258160,A
13264157,A
13319729,B
13348016,B
13198944,B
13325841,B
13302615,B
13340022,B
13221038,B
13286789,B
13337771,B
13306102,B
13283568,B
13285411,B
13354173,B
13305474,B
13210222,B
13234167,B
13290562,B
13231146,B
13415655,B
13241440,B
13184794,B
13205225,B
13332212,B
13171093,B
13352173,B
13396574,B
13365880,B
13326853,B
13351904,B
13300851,B
