Best,Algorithm
13190218,A
13202715,A
13233405,A
13262442,A
13209471,A
13105854,A
13133165,A
13441033,A
13079326,A
13150496,A
13097390,A
13168314,A
13190541,A
13216003,A
13390484,A
13181558,A
13282476,A
13276325,A
13322000,A
13234653,A
13269746,A
13049015,A
13147862,A
13422654,A
13263605,A
13219637,A
13331707,A
13260320,A
13251029,A
13304359,A
13369325,B
13250817,B
13154739,B
13177713,B
13339435,B
13303939,B
13246564,B
13287529,B
13314021,B
13340022,B
13250069,B
13295313,B
13408725,B
13250289,B
13255941,B
13371569,B
13242346,B
13170080,B
13206737,B
13336526,B
13294015,B
13445984,B
13297059,B
13370795,B
13259987,B
13343348,B
13189757,B
13269988,B
13249096,B
13332588,B
