Best,Algorithm
13255866,A
13271843,A
13316110,A
13196808,A
13212228,A
13009753,A
13204589,A
13179010,A
13233764,A
13287648,A
13293665,A
13106527,A
13233315,A
13383434,A
13272182,A
13318284,A
13297389,A
13237281,A
13135523,A
13390333,A
13153660,A
13181989,A
13422115,A
13273954,A
13078126,A
13231906,A
13094223,A
13146573,A
13013375,A
13254721,A
13332352,B
13259796,B
13213593,B
13279717,B
13329347,B
13267752,B
13249324,B
13364240,B
13262215,B
13356946,B
13403760,B
13382091,B
13277345,B
13326038,B
13338786,B
13279542,B
13246091,B
13428259,B
13286867,B
13324138,B
13208912,B
13216147,B
13403264,B
13245075,B
13158048,B
13422654,B
13348787,B
13310981,B
13382271,B
13304359,B
