Thu Apr 28 17:24:01 2016
[([0, 0, 0, 0, 17], 3.7727851351203148), ([1, 2, 10, 19, 3, 20, 7, 8, 13, 18, 5, 16, 11, 15, 9, 4, 14, 6, 12, 17], 3.7727851351203148)]
[([0, 0, 0, 0, 18], 3.5962121359537855), ([1, 4, 10, 7, 2, 9, 12, 20, 19, 14, 16, 11, 5, 6, 3, 8, 13, 15, 17, 18], 3.5962121359537855)]
[([0, 0, 0, 0, 19], 3.9323866733555137), ([1, 13, 12, 8, 2, 7, 9, 16, 11, 5, 4, 14, 15, 10, 18, 3, 6, 20, 17, 19], 3.9323866733555137)]
[([0, 0, 0, 0, 17], 4.122155182656554), ([1, 4, 19, 9, 15, 2, 10, 7, 16, 11, 6, 12, 8, 3, 13, 18, 14, 5, 20, 17], 4.122155182656554)]
[([0, 19, 19, 0, 0], 0.6684100087461443), ([1, 12, 20, 8, 13, 14, 7, 9, 10, 2, 18, 3, 17, 4, 15, 6, 16, 5, 11, 19], 0.6684100087461443)]
[([0, 0, 0, 0, 19], 3.7834580150546335), ([1, 11, 4, 7, 10, 8, 13, 2, 17, 5, 14, 18, 3, 12, 20, 6, 16, 15, 9, 19], 3.7834580150546335)]
[([0, 0, 0, 13, 0], 4.081488477070435), ([1, 9, 5, 3, 2, 15, 14, 10, 7, 4, 12, 16, 6, 11, 20, 18, 13, 8, 19, 17], 4.081488477070435)]
[([0, 0, 0, 0, 19], 3.936038120628362), ([1, 13, 2, 10, 16, 9, 15, 7, 4, 14, 3, 5, 11, 6, 12, 20, 8, 17, 18, 19], 3.936038120628362)]
[([0, 0, 0, 0, 17], 4.112985369711605), ([1, 13, 10, 2, 7, 15, 8, 20, 6, 11, 5, 14, 12, 16, 4, 9, 3, 18, 19, 17], 4.112985369711605)]
[([0, 0, 0, 13, 13], 4.058263152484792), ([1, 20, 16, 8, 18, 19, 14, 7, 10, 2, 4, 9, 15, 12, 11, 5, 6, 13, 17, 3], 4.058263152484792)]
[([0, 0, 0, 0, 19], 4.638769811576614), ([1, 3, 18, 8, 13, 2, 9, 14, 5, 12, 4, 15, 10, 7, 20, 11, 16, 6, 17, 19], 4.638769811576614)]
[([0, 0, 0, 0, 20], 3.6472837893185783), ([1, 17, 14, 4, 7, 18, 13, 9, 10, 2, 15, 3, 19, 8, 12, 6, 16, 11, 5, 20], 3.6472837893185783)]
[([0, 0, 0, 13, 0], 4.255059497187356), ([1, 3, 2, 6, 11, 5, 16, 14, 12, 20, 15, 10, 9, 4, 7, 18, 13, 8, 19, 17], 4.255059497187356)]
[([0, 0, 0, 0, 17], 4.095209179393441), ([1, 3, 2, 10, 7, 4, 5, 11, 6, 12, 19, 15, 16, 9, 14, 13, 18, 8, 20, 17], 4.095209179393441)]
[([17, 17, 0, 0, 0], 0.6787597483443571), ([1, 3, 8, 19, 13, 12, 20, 11, 5, 18, 2, 10, 9, 7, 15, 16, 4, 14, 6, 17], 0.6787597483443571)]
[([0, 0, 0, 0, 17], 3.5678985725726817), ([1, 9, 4, 7, 10, 14, 5, 16, 18, 19, 2, 15, 3, 13, 12, 8, 11, 20, 6, 17], 3.5678985725726817)]
[([0, 0, 0, 13, 0], 4.260982386086134), ([1, 2, 10, 15, 9, 7, 12, 20, 4, 3, 18, 14, 11, 5, 16, 6, 8, 19, 13, 17], 4.260982386086134)]
[([0, 0, 0, 13, 0], 4.526891538728731), ([1, 12, 5, 14, 9, 15, 16, 20, 19, 6, 11, 8, 18, 4, 7, 10, 2, 13, 3, 17], 4.526891538728731)]
[([0, 0, 0, 0, 17], 4.303630866828105), ([1, 8, 13, 3, 20, 5, 11, 6, 12, 9, 15, 16, 19, 2, 10, 7, 4, 14, 18, 17], 4.303630866828105)]
[([0, 0, 0, 16, 0], 4.911066037538018), ([1, 18, 13, 8, 2, 10, 19, 20, 6, 12, 14, 4, 9, 15, 7, 17, 3, 11, 5, 16], 4.911066037538018)]
[([0, 0, 0, 16, 0], 4.915104293797446), ([1, 14, 4, 7, 10, 9, 15, 2, 12, 19, 5, 17, 18, 13, 3, 8, 6, 11, 16, 20], 4.915104293797446)]
[([0, 0, 0, 0, 17], 3.9162680616630205), ([1, 20, 9, 7, 12, 11, 6, 13, 3, 8, 18, 2, 10, 19, 5, 16, 15, 4, 14, 17], 3.9162680616630205)]
[([0, 0, 0, 0, 17], 3.9401172613076585), ([1, 7, 9, 2, 10, 4, 12, 5, 19, 15, 14, 18, 8, 13, 3, 11, 16, 6, 20, 17], 3.9401172613076585)]
[([0, 0, 0, 0, 17], 4.158721418059911), ([1, 13, 8, 18, 7, 10, 4, 15, 16, 12, 20, 11, 6, 5, 9, 14, 2, 19, 3, 17], 4.158721418059911)]
[([0, 0, 0, 0, 17], 4.2482998707108806), ([1, 9, 14, 6, 5, 2, 10, 7, 15, 4, 3, 18, 13, 8, 12, 20, 16, 11, 19, 17], 4.2482998707108806)]
[([0, 19, 19, 0, 0], 0.7760222345531812), ([1, 18, 20, 6, 12, 13, 2, 10, 7, 9, 15, 4, 14, 16, 5, 11, 8, 3, 17, 19], 0.7760222345531812)]
[([0, 0, 0, 16, 16], 4.897990131536776), ([1, 13, 3, 12, 17, 2, 15, 7, 10, 9, 8, 18, 19, 4, 14, 5, 6, 11, 16, 20], 4.897990131536776)]
[([0, 0, 0, 0, 17], 4.283503331330664), ([1, 7, 2, 10, 4, 5, 14, 20, 8, 13, 18, 3, 11, 12, 6, 16, 9, 15, 19, 17], 4.283503331330664)]
[([0, 0, 0, 0, 17], 3.6058957117181585), ([1, 18, 14, 4, 7, 15, 5, 16, 6, 12, 3, 10, 9, 19, 8, 2, 13, 20, 11, 17], 3.6058957117181585)]
[([0, 0, 0, 0, 18], 3.9102646782736445), ([1, 14, 7, 15, 2, 10, 9, 4, 5, 20, 12, 11, 8, 3, 17, 13, 6, 16, 19, 18], 3.9102646782736445)]

