Thu Apr 28 21:31:55 2016
[([19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19, 0, 0, 0], 4.700716640984663), ([1, 5, 15, 10, 20, 3, 4, 8, 6, 11, 7, 18, 17, 13, 14, 16, 12, 9, 2, 19], 4.700716640984663)]
[([19, 19, 0, 19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19, 0, 0, 0], 3.9555604245429787), ([1, 8, 17, 5, 18, 13, 16, 3, 20, 12, 9, 2, 15, 10, 7, 6, 14, 11, 4, 19], 3.9555604245429787)]
[([0, 0, 0, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 4.443878068837437), ([1, 9, 18, 17, 3, 13, 7, 15, 11, 5, 12, 8, 14, 6, 16, 10, 20, 2, 4, 19], 4.443878068837437)]
[([19, 19, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0], 4.271785853212178), ([1, 18, 7, 17, 2, 15, 9, 12, 8, 13, 6, 3, 14, 16, 20, 10, 4, 11, 5, 19], 4.271785853212178)]
[([19, 19, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19, 0, 0, 0], 3.839829737999206), ([1, 9, 16, 14, 17, 12, 15, 18, 7, 8, 20, 13, 3, 4, 5, 11, 10, 6, 2, 19], 3.839829737999206)]
[([19, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 19, 0, 0, 0], 4.128783689289124), ([1, 10, 5, 15, 11, 17, 9, 12, 13, 14, 18, 7, 20, 3, 6, 2, 4, 16, 8, 19], 4.128783689289124)]
[([0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19, 0, 0, 0], 4.378123142652505), ([1, 15, 8, 12, 9, 2, 16, 7, 17, 6, 18, 14, 13, 4, 11, 20, 3, 10, 5, 19], 4.378123142652505)]
[([19, 19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0], 3.665357753276861), ([1, 12, 4, 5, 11, 18, 16, 20, 15, 8, 2, 9, 10, 14, 17, 7, 6, 3, 13, 19], 3.665357753276861)]
[([19, 19, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19, 0, 0, 0], 3.6509705949061555), ([1, 15, 17, 13, 4, 9, 20, 3, 18, 16, 12, 11, 10, 7, 8, 2, 14, 6, 5, 19], 3.6509705949061555)]
[([19, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19, 0, 19, 0, 0, 0, 0, 0], 3.868986393266541), ([1, 12, 8, 18, 17, 5, 2, 4, 15, 7, 9, 3, 20, 10, 13, 14, 6, 16, 11, 19], 3.868986393266541)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0, 0, 0, 0], 38.08445165871388), ([1, 9, 16, 14, 6, 2, 3, 13, 12, 8, 4, 15, 11, 18, 20, 17, 7, 10, 5, 19], 38.08445165871388)]
[([19, 19, 0, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0], 3.708757046514611), ([1, 3, 17, 15, 5, 10, 18, 12, 9, 14, 7, 8, 11, 6, 13, 20, 16, 2, 4, 19], 3.708757046514611)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 0, 0, 0, 0], 37.578667268951236), ([1, 2, 17, 7, 15, 18, 12, 8, 9, 5, 10, 11, 13, 16, 20, 14, 3, 6, 4, 19], 37.578667268951236)]
